Site,Date,DO (mg/L) - Top,DO (mg/L) - Bot,Fecal Coliform (#/100 mL) - Top,Fecal Coliform (#/100 mL) - Bot,Enterococcus (#/100 mL) - Top,Enterococcus (#/100 mL) - Bot,Transparency (Secchi) ft,Weather (Dry = D / Wet = W)
PB2,10/4/2017,9.81,10.24,72,NS,2,NS,3,D
PB3,10/4/2017,10,NS,28,NS,1,NS,3,D
SP2,10/4/2017,8.79,NS,11,NS,1,NS,4,D
TB1,10/4/2017,4.83,4.53,72,NS,12,NS,3.5,D
TB2,10/4/2017,5.28,5.45,12,NS,3,NS,4,D
CIC3,10/3/2017,6.94,7.2,440,NS,8,NS,5,D
E12,10/3/2017,7.75,NS,4,NS,4,NS,NS,D
E13,10/3/2017,6.36,NS,3,NS,1,NS,NS,D
G2,10/3/2017,7.1,6.48,24,NS,12,NS,7,D
GB1,10/3/2017,7.4,7.44,12,NS,1,NS,5.5,D
HR03,10/3/2017,4.29,NS,152,NS,24,NS,NS,D
HR1,10/3/2017,6.17,NS,4,NS,4,NS,NS,D
HR2,10/3/2017,3.07,NS,627,NS,24,NS,NS,D
K1,10/3/2017,6.98,6.46,4,NS,1,NS,5,D
K2,10/3/2017,7.44,6.7,4,NS,2,NS,5.5,D
K3,10/3/2017,6.44,7.15,16,NS,6,NS,6.5,D
K4,10/3/2017,6.07,6.44,40,NS,8,NS,5,D
K5,10/3/2017,6.86,7.25,8,NS,1,NS,4.5,D
K5A,10/3/2017,7.83,7.55,4,NS,1,NS,3.5,D
K6,10/3/2017,8.52,8.6,1,NS,1,NS,4,D
N6,10/3/2017,7.13,6.7,4,NS,10,NS,5,D
N7,10/3/2017,6.37,6.34,4,NS,1,NS,4,D
N8,10/3/2017,6.77,6.61,2,NS,1,NS,4.5,D
NC0,10/3/2017,4.34,4.25,16,24,20,36,2.5,D
NC1,10/3/2017,6.2,5.08,120,48,16,4,3,D
NC2,10/3/2017,5.35,5.26,4,4,4,4,3.5,D
NC3,10/3/2017,5.67,5.73,12,12,10,12,5,D
WC1,10/3/2017,11.46,NS,108,NS,6,NS,NS,D
WC2,10/3/2017,10.53,NS,28,NS,8,NS,NS,D
WC3,10/3/2017,6.48,NS,2,NS,1,NS,NS,D
BR5,10/2/2017,6.14,NS,18,NS,3,NS,4,D
CIC2,10/2/2017,6.51,NS,110000,NS,4000,NS,NS,D
E10,10/2/2017,6.63,6.29,1,NS,1,NS,5,D
E11,10/2/2017,6.75,NS,2,NS,1,NS,5.5,D
E14,10/2/2017,6.36,6.23,2,NS,1,NS,5,D
E15,10/2/2017,7.43,NS,20,NS,1,NS,4,D
E2,10/2/2017,5.9,5.82,14,NS,4,NS,4.5,D
E4,10/2/2017,5.9,6.08,2,NS,1,NS,5,D
E6,10/2/2017,6.17,6.16,6,NS,3,NS,5.5,D
E7,10/2/2017,6.36,6.13,2,NS,1,NS,4,D
E8,10/2/2017,6.33,5.96,1,NS,1,NS,5,D
FB1,10/2/2017,7.32,7.22,28,NS,2,NS,3,D
FLC1,10/2/2017,5.09,NS,530,NS,20,NS,2,D
FLC2,10/2/2017,7.35,7.11,330,NS,11,NS,4,D
GC3,10/2/2017,9.44,9.34,24,20,4,4,NS,D
GC4,10/2/2017,9.27,9.25,80,264,12,4,NS,D
GC5,10/2/2017,9.27,9.27,132,100,12,20,NS,D
GC6,10/2/2017,9.09,8.86,96,100,8,8,NS,D
H3,10/2/2017,5.9,5.83,10,NS,3,NS,5,D
LN1,10/2/2017,8.6,NS,22,NS,10,NS,3,D
N1,10/2/2017,7.3,5.42,1,NS,1,NS,3,D
N3B,10/2/2017,7.7,5.82,4,NS,1,NS,3,D
N4,10/2/2017,7.36,5.67,21,NS,12,NS,3,D
N5,10/2/2017,6.99,5.71,7,NS,1,NS,3.5,D
NR1,10/2/2017,7.62,5.45,7,NS,1,NS,3,D
SP1,10/2/2017,12.7,NS,84,NS,48,NS,NS,D
BR5,9/28/2017,7.68,NS,58,NS,7,NS,2,D
E10,9/28/2017,6.12,4.59,1,NS,1,NS,4,D
E11,9/28/2017,7.57,NS,5,NS,1,NS,2,D
E12,9/28/2017,6.92,NS,24,NS,4,NS,NS,D
E13,9/28/2017,6.1,NS,47,NS,17,NS,NS,D
E14,9/28/2017,5.36,5.69,20,NS,1,NS,4,D
E15,9/28/2017,4.93,NS,44,NS,6,NS,1.5,D
E2,9/28/2017,4.49,5.3,38,NS,9,NS,5,D
E4,9/28/2017,4.45,5.11,16,NS,9,NS,5,D
E6,9/28/2017,6.59,5.37,18,NS,1,NS,5,D
E7,9/28/2017,6.18,5.58,3,NS,1,NS,4.5,D
E8,9/28/2017,5.71,4.11,1,NS,1,NS,4.5,D
FB1,9/28/2017,4.16,5.69,112,NS,4,NS,4,D
FLC1,9/28/2017,4.4,NS,1345,NS,22,NS,2,D
FLC2,9/28/2017,4.85,4.35,900,NS,10,NS,3,D
H3,9/28/2017,4.73,4.7,14,NS,2,NS,4.5,D
HR03,9/28/2017,2.39,NS,156,NS,4,NS,NS,D
HR1,9/28/2017,3.35,NS,100,NS,28,NS,NS,D
HR2,9/28/2017,1.2,NS,300,NS,48,NS,NS,D
LN1,9/28/2017,7.81,NS,7,NS,1,NS,1.5,D
N1,9/28/2017,7.26,4.22,6,NS,1,NS,3.5,D
N3B,9/28/2017,7.69,5.12,4,NS,1,NS,4,D
N4,9/28/2017,6.72,5.52,104,NS,4,NS,3,D
N5,9/28/2017,5.85,6.08,8,NS,1,NS,3.5,D
NR1,9/28/2017,7.12,4.81,2,NS,2,NS,3.5,D
WC1,9/28/2017,7.26,NS,220,NS,9,NS,NS,D
WC2,9/28/2017,1.98,NS,108,NS,22,NS,NS,D
WC3,9/28/2017,6.13,NS,28,NS,3,NS,NS,D
CIC2,9/27/2017,5.84,NS,1387,NS,30,NS,NS,D
CIC3,9/27/2017,5.3,4.95,600,NS,4,NS,5,D
G2,9/27/2017,6.07,5.04,40,NS,1,NS,6,D
GB1,9/27/2017,5.84,5.55,2,NS,2,NS,5,D
GC3,9/27/2017,8.64,NS,24,NS,4,NS,NS,D
GC4,9/27/2017,8.69,8.67,4,8,4,4,NS,D
GC5,9/27/2017,8.52,NS,36,NS,4,NS,NS,D
GC6,9/27/2017,7.91,7.16,4,4,4,10,NS,D
K1,9/27/2017,5.83,5.51,20,NS,4,NS,5,D
K2,9/27/2017,4.68,5.42,8,NS,1,NS,5,D
K3,9/27/2017,5.47,5.07,10,NS,2,NS,6,D
K4,9/27/2017,5.95,5.14,8,NS,3,NS,6.5,D
K5,9/27/2017,8.17,5.98,2,NS,1,NS,3,D
K5A,9/27/2017,9.2,6.6,2,NS,1,NS,3,D
K6,9/27/2017,6.75,6.15,4,NS,1,NS,5,D
N6,9/27/2017,6.18,5.85,4,NS,1,NS,5,D
N7,9/27/2017,5.86,5.79,4,NS,3,NS,4,D
N8,9/27/2017,5.01,4.43,8,NS,1,NS,5.5,D
NC0,9/27/2017,6.88,6.96,218,160,48,64,2.5,D
NC1,9/27/2017,4.36,5.4,184,213,48,70,3,D
NC2,9/27/2017,7.76,8.22,16,24,20,4,2.5,D
NC3,9/27/2017,7.96,6.89,68,16,8,12,3,D
SP1,9/27/2017,9.25,NS,239,NS,112,NS,NS,D
BB2,9/26/2017,NS,NS,10,NS,1,NS,2,D
BB4,9/26/2017,NS,NS,10,NS,2,NS,3,D
GHC,9/26/2017,NS,NS,4,NS,2,NS,4,D
HOB,9/26/2017,NS,NS,NS,NS,NS,NS,NS,NS
J1,9/26/2017,NS,NS,1,NS,1,NS,4,D
J10,9/26/2017,NS,NS,2,NS,1,NS,4,D
J11,9/26/2017,NS,NS,7,NS,2,NS,4,D
J12,9/26/2017,NS,NS,4,NS,1,NS,2.5,D
J2,9/26/2017,NS,NS,1,NS,1,NS,4,D
J3,9/26/2017,NS,NS,2,NS,1,NS,4,D
J5,9/26/2017,NS,NS,9,NS,1,NS,3,D
J7,9/26/2017,NS,NS,30,NS,1,NS,2,D
J8,9/26/2017,NS,NS,4,NS,1,NS,4,D
J9A,9/26/2017,NS,NS,5,NS,2,NS,4,D
JA1,9/26/2017,NS,NS,4,NS,1,NS,2.5,D
N16,9/26/2017,NS,NS,NS,NS,NS,NS,NS,NS
N9,9/26/2017,NS,NS,2,NS,1,NS,5,D
N9A,9/26/2017,NS,NS,3,NS,1,NS,4.5,D
PB2,9/26/2017,NS,NS,12,NS,1,NS,4,D
PB3,9/26/2017,NS,NS,2,NS,1,NS,4,D
SP2,9/26/2017,NS,NS,8,NS,1,NS,4,D
TB1,9/26/2017,NS,NS,NS,NS,NS,NS,NS,NS
TB2,9/26/2017,NS,NS,NS,NS,NS,NS,NS,NS
AC1,9/25/2017,6.68,NS,2700,NS,1200,NS,NS,D
AC2,9/25/2017,9.03,NS,5000,NS,1800,NS,NS,D
BR1,9/25/2017,6.12,NS,253,NS,188,NS,NS,D
BR3,9/25/2017,1.33,NS,8,NS,28,NS,NS,D
F1,9/25/2017,7.81,NS,94,NS,2,NS,NS,D
F5,9/25/2017,6.68,NS,12,NS,2,NS,NS,D
HC1,9/25/2017,6.43,NS,34,NS,6,NS,NS,D
HC2,9/25/2017,6.05,NS,12,NS,8,NS,NS,D
HC3,9/25/2017,6.62,NS,26,NS,4,NS,NS,D
J14,9/25/2017,NS,NS,4,NS,2,NS,NS,D
J16,9/25/2017,NS,NS,2,NS,2,NS,NS,D
J18,9/25/2017,NS,NS,2,NS,2,NS,NS,D
BB2,9/21/2017,NS,NS,649,NS,10,NS,3,D
BB4,9/21/2017,NS,NS,250,NS,5,NS,5,D
GHC,9/21/2017,NS,NS,8,NS,2,NS,7,D
HOB,9/21/2017,NS,NS,16,NS,7,NS,6.5,D
J1,9/21/2017,NS,NS,5,NS,1,NS,4.5,D
J10,9/21/2017,NS,NS,12,NS,2,NS,5,D
J11,9/21/2017,NS,NS,110,NS,5,NS,4.5,D
J12,9/21/2017,NS,NS,15,NS,1,NS,5,D
J2,9/21/2017,NS,NS,9,NS,1,NS,4,D
J3,9/21/2017,NS,NS,5,NS,2,NS,5.5,D
J5,9/21/2017,NS,NS,8,NS,2,NS,5,D
J7,9/21/2017,NS,NS,220,NS,1,NS,4.5,D
J8,9/21/2017,NS,NS,76,NS,2,NS,5,D
J9A,9/21/2017,NS,NS,11,NS,1,NS,5,D
JA1,9/21/2017,NS,NS,36,NS,1,NS,5,D
N16,9/21/2017,NS,NS,6,NS,3,NS,4.5,D
N9,9/21/2017,NS,NS,4,NS,1,NS,4.5,D
N9A,9/21/2017,NS,NS,2,NS,1,NS,4,D
PB2,9/21/2017,NS,NS,24,NS,2,NS,4.5,D
PB3,9/21/2017,NS,NS,36,NS,2,NS,5,D
SP2,9/21/2017,NS,NS,20,NS,1,NS,5,D
TB1,9/21/2017,NS,NS,124,NS,29,NS,4,D
TB2,9/21/2017,NS,NS,36,NS,4,NS,5.5,D
CIC3,9/19/2017,10.26,10.14,510,NS,35,NS,5,D
E12,9/19/2017,5.43,NS,4,NS,4,NS,NS,D
E13,9/19/2017,5.54,NS,16,NS,3,NS,NS,D
G2,9/19/2017,10.04,9.62,36,NS,2,NS,4.5,D
GB1,9/19/2017,10.52,10.33,1,NS,1,NS,4,D
HR03,9/19/2017,2.78,NS,419,NS,4,NS,NS,D
HR1,9/19/2017,4.2,NS,20,NS,4,NS,NS,D
HR2,9/19/2017,1.92,NS,44,NS,20,NS,NS,D
K1,9/19/2017,9.64,9.5,4,NS,3,NS,3.5,D
K2,9/19/2017,10.16,10.02,4,NS,1,NS,4,D
K3,9/19/2017,9.13,9.13,36,NS,16,NS,4,D
K4,9/19/2017,8.94,8.6,48,NS,36,NS,5,D
K5,9/19/2017,9.21,8.97,6,NS,5,NS,6,D
K5A,9/19/2017,9.2,9.17,10,NS,2,NS,4,D
K6,9/19/2017,NS,NS,NS,NS,NS,NS,NS,NS
N6,9/19/2017,10.45,9.77,4,NS,1,NS,NS,D
N7,9/19/2017,10.16,10.15,4,NS,1,NS,4,D
N8,9/19/2017,10.48,10.49,2,NS,1,NS,4,D
NC0,9/19/2017,11.25,10.97,240,104,460,330,3,D
NC1,9/19/2017,6.02,5.64,764,580,1060,680,5,D
NC2,9/19/2017,5.56,5.76,132,104,112,205,5.5,D
NC3,9/19/2017,6.15,5.95,96,48,32,32,6.5,D
WC1,9/19/2017,7.23,NS,48,NS,24,NS,NS,D
WC2,9/19/2017,5.93,NS,84,NS,49,NS,NS,D
WC3,9/19/2017,5.84,NS,2,NS,1,NS,NS,D
BR5,9/18/2017,9.23,8.27,10,NS,6,NS,3.5,D
CIC2,9/18/2017,4.14,NS,121000,NS,3100,NS,NS,D
E10,9/18/2017,6.9,6.42,1,NS,1,NS,4.5,D
E11,9/18/2017,7.29,NS,3,NS,4,NS,4.5,D
E14,9/18/2017,8.26,8.43,4,NS,1,NS,4,D
E15,9/18/2017,8.69,8.5,32,NS,4,NS,4.5,D
E2,9/18/2017,8.49,8.29,17,NS,2,NS,3.5,D
E4,9/18/2017,5.69,5.74,17,NS,1,NS,3.5,D
E6,9/18/2017,9.5,8.14,5,NS,3,NS,5,D
E7,9/18/2017,8.26,8.17,2,NS,1,NS,4,D
E8,9/18/2017,8.55,7.21,3,NS,1,NS,5,D
FB1,9/18/2017,8.92,8.74,4,NS,2,NS,4.5,D
FLC1,9/18/2017,4.64,NS,104,NS,12,NS,4,D
FLC2,9/18/2017,7.97,8.21,104,NS,15,NS,4.5,D
GC3,9/18/2017,8.61,8.59,318,72,20,10,NS,D
GC4,9/18/2017,8.47,8.48,200,108,32,28,NS,D
GC5,9/18/2017,8.42,8.4,88,100,8,20,NS,D
GC6,9/18/2017,7.98,7.95,84,96,8,12,NS,D
H3,9/18/2017,8.45,8.57,8,NS,6,NS,3,D
LN1,9/18/2017,9.2,NS,41,NS,7,NS,4.5,D
N1,9/18/2017,9.4,8.62,1,NS,4,NS,2,D
N3B,9/18/2017,9.1,8.6,1,NS,4,NS,1.5,D
N4,9/18/2017,8.56,8.46,16,NS,15,NS,2,D
N5,9/18/2017,8.48,9.21,4,NS,12,NS,3,D
NR1,9/18/2017,8.49,8.68,2,NS,9,NS,2.5,D
SP1,9/18/2017,9.07,NS,200,NS,14,NS,NS,D
AC1,9/14/2017,5.66,NS,21000,NS,3100,NS,NS,D
AC2,9/14/2017,8.09,NS,6545,NS,1300,NS,NS,D
BR1,9/14/2017,6.91,NS,5900,NS,300,NS,NS,D
BR3,9/14/2017,3.01,NS,287,NS,52,NS,NS,D
E12,9/14/2017,NS,NS,28,NS,4,NS,NS,D
E13,9/14/2017,NS,NS,6,NS,5,NS,NS,D
HR03,9/14/2017,NS,NS,285,NS,40,NS,NS,D
HR1,9/14/2017,NS,NS,300,NS,4,NS,NS,D
HR2,9/14/2017,NS,NS,1445,NS,88,NS,NS,D
WC1,9/14/2017,NS,NS,48,NS,25,NS,NS,D
WC2,9/14/2017,3.51,NS,470,NS,150,NS,NS,D
WC3,9/14/2017,NS,NS,30,NS,8,NS,NS,D
BB2,9/13/2017,7.9,7.64,10,NS,1,NS,3,D
BB4,9/13/2017,7.85,7.07,10,NS,1,NS,3,D
GHC,9/13/2017,8.3,7.11,4,NS,2,NS,4,D
HOB,9/13/2017,9.9,8.99,4,NS,1,NS,3,D
J1,9/13/2017,9.19,9.4,3,NS,1,NS,4,D
J10,9/13/2017,8.1,8.86,3,NS,2,NS,4,D
J11,9/13/2017,9.81,9.2,30,NS,1,NS,4.5,D
J12,9/13/2017,16.48,5.57,1,NS,1,NS,2,D
J2,9/13/2017,8.61,8.34,5,NS,1,NS,3,D
J3,9/13/2017,8.4,8,1,NS,2,NS,4,D
J5,9/13/2017,11.7,9.56,2,NS,1,NS,3.5,D
J7,9/13/2017,8.99,7.61,10,NS,1,NS,3,D
J8,9/13/2017,7.42,7.72,4,NS,1,NS,4,D
J9A,9/13/2017,7.57,7.54,2,NS,1,NS,4.5,D
JA1,9/13/2017,8.56,7.76,4,NS,1,NS,3.5,D
N16,9/13/2017,8.55,8.68,1,NS,1,NS,5,D
N9,9/13/2017,7.69,7.66,1,NS,80,NS,4.5,D
N9A,9/13/2017,8.84,8.76,1,NS,1,NS,3.5,D
PB2,9/13/2017,10.14,8.63,26,NS,2,NS,3,D
PB3,9/13/2017,8.99,9.25,6,NS,1,NS,4,D
SP2,9/13/2017,8.26,NS,12,NS,1,NS,4,D
TB1,9/13/2017,7.72,7.08,4,NS,1,NS,4.5,D
TB2,9/13/2017,8.5,7.41,4,NS,1,NS,4,D
CIC3,9/12/2017,6.74,6.83,10,NS,2,NS,5.5,D
F1,9/12/2017,NS,NS,232,NS,2,NS,NS,D
F5,9/12/2017,NS,NS,14,NS,2,NS,NS,D
G2,9/12/2017,7.19,5.88,4,NS,2,NS,6,D
GB1,9/12/2017,6.67,6.65,1,NS,1,NS,4,D
HC1,9/12/2017,5.34,NS,28,NS,4,NS,NS,D
HC2,9/12/2017,NS,NS,2,NS,2,NS,NS,D
HC3,9/12/2017,NS,NS,30,NS,2,NS,NS,D
J14,9/12/2017,NS,NS,4,NS,2,NS,NS,D
J16,9/12/2017,NS,NS,2,NS,2,NS,NS,D
J18,9/12/2017,NS,NS,4,NS,2,NS,NS,D
K1,9/12/2017,6.35,6.31,20,NS,1,NS,5,D
K2,9/12/2017,6.41,6.18,12,NS,1,NS,5,D
K3,9/12/2017,6.21,6.15,8,NS,2,NS,5,D
K4,9/12/2017,6.47,6.21,4,NS,1,NS,3.5,D
K5,9/12/2017,7.52,6.86,8,NS,1,NS,3.5,D
K5A,9/12/2017,7.02,6.98,4,NS,1,NS,3.5,D
K6,9/12/2017,7.21,7.08,1,NS,1,NS,4.5,D
N6,9/12/2017,5.94,6.02,8,NS,3,NS,3.5,D
N7,9/12/2017,5.94,6.36,8,NS,2,NS,4,D
N8,9/12/2017,6.45,6.96,2,NS,1,NS,5,D
NC0,9/12/2017,6.67,6.56,32,40,52,116,2.5,D
NC1,9/12/2017,4.45,4.43,24,36,16,8,3,D
NC2,9/12/2017,5.28,5.59,12,12,4,4,3,D
NC3,9/12/2017,5.65,5.61,140,188,16,12,3.5,D
BR5,9/11/2017,6.24,6.22,2,NS,4,NS,3.5,D
CIC2,9/11/2017,6.35,5.83,210,NS,4,NS,NS,D
E10,9/11/2017,6.85,6.18,2,NS,1,NS,5,D
E11,9/11/2017,6.23,NS,4,NS,10,NS,5,D
E14,9/11/2017,5.52,5.44,3,NS,1,NS,5.5,D
E15,9/11/2017,6.51,6.65,40,NS,3,NS,3.5,D
E2,9/11/2017,5.41,5.32,4,NS,4,NS,5,D
E4,9/11/2017,5.57,5.41,6,NS,5,NS,4.5,D
E6,9/11/2017,5.55,5.47,3,NS,3,NS,4.5,D
E7,9/11/2017,5.64,5.84,7,NS,2,NS,4.5,D
E8,9/11/2017,5.85,5.76,2,NS,1,NS,4,D
FB1,9/11/2017,6.06,5.85,16,NS,8,NS,3.5,D
FLC1,9/11/2017,5.98,5.98,4500,NS,110,NS,4.5,D
FLC2,9/11/2017,6.6,6.68,273,NS,11,NS,3.5,D
GC3,9/11/2017,8.55,8.54,4,4,28,16,NS,D
GC4,9/11/2017,8.46,8.49,4,4,16,8,NS,D
GC5,9/11/2017,8.36,8.35,8,4,8,30,NS,D
GC6,9/11/2017,7.21,7.39,4,24,12,28,NS,D
H3,9/11/2017,5.92,5.88,13,NS,7,NS,2,D
LN1,9/11/2017,9,NS,7,NS,1,NS,3,D
N1,9/11/2017,6.52,5.99,1,NS,3,NS,2,D
N3B,9/11/2017,6.08,5.36,8,NS,2,NS,2,D
N4,9/11/2017,5.86,5.39,76,NS,9,NS,2,D
N5,9/11/2017,5.79,5.51,19,NS,10,NS,3,D
NR1,9/11/2017,6,5.32,4,NS,5,NS,2,D
SP1,9/11/2017,7.27,NS,32,NS,6,NS,NS,D
AC1,9/7/2017,4.16,NS,430,NS,80,NS,NS,W
AC2,9/7/2017,2.18,NS,1649,NS,1400,NS,NS,W
BR1,9/7/2017,7.37,NS,3500,NS,2600,NS,NS,W
BR3,9/7/2017,2.77,NS,220,NS,390,NS,NS,W
F1,9/7/2017,4.72,NS,2100,NS,350,NS,NS,W
F5,9/7/2017,4.73,NS,2800,NS,410,NS,NS,W
HC1,9/7/2017,6.64,NS,30,NS,30,NS,NS,W
HC2,9/7/2017,4.62,NS,60,NS,10,NS,NS,W
HC3,9/7/2017,5.05,NS,10,NS,10,NS,NS,W
J14,9/7/2017,5.33,NS,8,NS,4,NS,NS,W
J16,9/7/2017,5.98,5.63,4,NS,4,NS,NS,W
J18,9/7/2017,5.83,5.82,16,NS,4,NS,NS,W
BB2,9/6/2017,3.31,NS,70,NS,NS,NS,3,W
BB4,9/6/2017,5.2,5.21,10,NS,NS,NS,3.5,W
CIC2,9/6/2017,4.01,NS,45000,NS,320,NS,NS,W
GC3,9/6/2017,8.45,8.35,60,20,50,70,NS,W
GC4,9/6/2017,8.34,8.33,120,110,50,20,NS,W
GC5,9/6/2017,8.25,8.1,20,130,40,80,NS,W
GC6,9/6/2017,7.45,5.58,160,220,20,140,NS,W
GHC,9/6/2017,6.04,5.34,4,NS,NS,NS,4,W
HOB,9/6/2017,5.81,5.72,4,NS,NS,NS,4.5,W
J1,9/6/2017,5.98,6.36,8,NS,NS,NS,4,W
J10,9/6/2017,6.35,6.28,12,NS,NS,NS,4,W
J11,9/6/2017,7.53,6.33,232,NS,NS,NS,4,W
J12,9/6/2017,5.6,4.96,4,NS,NS,NS,4,W
J2,9/6/2017,5.93,5.72,4,NS,NS,NS,4,W
J3,9/6/2017,6.04,5.02,12,NS,NS,NS,4,W
J5,9/6/2017,6.42,6.41,6,NS,NS,NS,4,W
J7,9/6/2017,5.6,5.04,16,NS,NS,NS,4.5,W
J8,9/6/2017,5.68,5.34,20,NS,NS,NS,5,W
J9A,9/6/2017,5.83,5.71,20,NS,NS,NS,5.4,W
JA1,9/6/2017,5.61,5.62,4,NS,NS,NS,4.5,W
N16,9/6/2017,NS,NS,NS,NS,NS,NS,NS,NS
N9,9/6/2017,6.57,6.48,2,NS,NS,NS,5,W
N9A,9/6/2017,6.38,6.41,2,NS,NS,NS,4.5,W
PB2,9/6/2017,6.45,6.93,44,NS,NS,NS,3,W
PB3,9/6/2017,7.23,7.11,32,NS,NS,NS,4,W
SP1,9/6/2017,4.47,NS,2000,NS,10,NS,NS,W
SP2,9/6/2017,6.01,NS,24,NS,NS,NS,4,W
TB1,9/6/2017,4.13,3.84,10,NS,NS,NS,5,W
TB2,9/6/2017,4.85,5.6,10,NS,NS,NS,5.5,W
BR5,9/5/2017,6.24,6.19,10,NS,10,NS,2,W
E10,9/5/2017,6.26,5.62,12,NS,2,NS,4,W
E11,9/5/2017,7.68,NS,44,NS,2,NS,3,W
E12,9/5/2017,8.1,NS,10,NS,10,NS,NS,W
E13,9/5/2017,5.29,NS,63,NS,2,NS,NS,W
E14,9/5/2017,5.06,5.1,20,NS,2,NS,3,W
E15,9/5/2017,5.6,NS,100,NS,10,NS,4.5,W
E2,9/5/2017,5.46,5.68,34,NS,10,NS,3.5,W
E4,9/5/2017,5.43,5.35,12,NS,2,NS,4,W
E6,9/5/2017,5.5,5.58,44,NS,2,NS,4.5,W
E7,9/5/2017,5.2,5.48,22,NS,2,NS,4,W
E8,9/5/2017,5.66,5.22,32,NS,26,NS,4.5,W
FB1,9/5/2017,5.33,5.85,72,NS,16,NS,3,W
FLC1,9/5/2017,4.51,NS,883,NS,30,NS,2.5,W
FLC2,9/5/2017,5.09,5.11,270,NS,20,NS,3,W
H3,9/5/2017,5.37,5.59,4,NS,4,NS,3,W
HR03,9/5/2017,2.7,NS,40,NS,30,NS,NS,W
HR1,9/5/2017,6.9,NS,50,NS,10,NS,NS,W
HR2,9/5/2017,2.75,NS,2000,NS,30,NS,NS,W
LN1,9/5/2017,5.98,NS,36,NS,2,NS,3,W
N1,9/5/2017,NS,NS,NS,NS,NS,NS,NS,NS
N3B,9/5/2017,NS,NS,NS,NS,NS,NS,NS,NS
N4,9/5/2017,NS,NS,NS,NS,NS,NS,NS,NS
N5,9/5/2017,NS,NS,NS,NS,NS,NS,NS,NS
NR1,9/5/2017,NS,NS,NS,NS,NS,NS,NS,NS
WC1,9/5/2017,5.31,NS,210,NS,8,NS,NS,W
WC2,9/5/2017,2.46,NS,24000,NS,20,NS,NS,W
WC3,9/5/2017,5.73,NS,10,NS,4,NS,NS,W
AC1,8/31/2017,2.37,NS,4800,NS,3400,NS,NS,D
AC2,8/31/2017,2.4,NS,1800,NS,1000,NS,NS,D
BR1,8/31/2017,6.92,NS,330,NS,212,NS,NS,D
BR3,8/31/2017,2.28,NS,40,NS,36,NS,NS,D
E12,8/31/2017,6.41,NS,32,NS,4,NS,NS,D
E13,8/31/2017,5.58,NS,9,NS,1,NS,NS,D
HR03,8/31/2017,4.41,NS,84,NS,16,NS,NS,D
HR1,8/31/2017,8.62,NS,156,NS,52,NS,NS,D
HR2,8/31/2017,2.03,NS,112,NS,40,NS,NS,D
WC1,8/31/2017,3.86,NS,114,NS,18,NS,NS,D
WC2,8/31/2017,1.62,NS,340,NS,15,NS,NS,D
WC3,8/31/2017,5.07,NS,74,NS,23,NS,NS,D
CIC3,8/29/2017,6.39,6.26,2400,NS,23,NS,4,D
F1,8/29/2017,9.58,NS,600,NS,10,NS,NS,D
F5,8/29/2017,7.33,NS,290,NS,2,NS,NS,D
G2,8/29/2017,5.74,5.41,12,NS,11,NS,5,D
GB1,8/29/2017,6.23,6.08,2,NS,1,NS,4,D
HC1,8/29/2017,7.54,NS,34,NS,4,NS,NS,D
HC2,8/29/2017,5.08,NS,18,NS,4,NS,NS,D
HC3,8/29/2017,6.03,NS,16,NS,2,NS,NS,D
J14,8/29/2017,6.72,NS,4,NS,2,NS,NS,D
J16,8/29/2017,NS,NS,NS,NS,NS,NS,NS,NS
J18,8/29/2017,6.87,6.56,2,NS,2,NS,NS,D
K1,8/29/2017,6.29,5.58,36,NS,1,NS,4,D
K2,8/29/2017,5.87,5.76,4,NS,2,NS,4.5,D
K3,8/29/2017,5.94,5.07,16,NS,3,NS,4.5,D
K4,8/29/2017,6.42,5.7,4,NS,25,NS,3,D
K5,8/29/2017,5.99,6.15,4,NS,7,NS,2.5,D
